user_id,date,year,month,day,direction,internal,operator_id,is_missed_call,calls_count,call_duration,hold_time,total_call_duration
166377,2019-08-03 21:00:00+00:00,2019,8,3,in,False,0,True,2,0,4,4
166377,2019-08-04 21:00:00+00:00,2019,8,4,out,True,880022,True,3,0,5,5
166377,2019-08-04 21:00:00+00:00,2019,8,4,out,True,880020,True,1,0,1,1
166377,2019-08-04 21:00:00+00:00,2019,8,4,out,True,880020,False,1,10,8,18
166377,2019-08-04 21:00:00+00:00,2019,8,4,out,False,880022,True,3,0,25,25
166377,2019-08-04 21:00:00+00:00,2019,8,4,out,False,880020,False,2,3,26,29
166377,2019-08-04 21:00:00+00:00,2019,8,4,out,False,880020,True,8,0,50,50
166377,2019-08-04 21:00:00+00:00,2019,8,4,in,False,0,True,6,0,35,35
166377,2019-08-04 21:00:00+00:00,2019,8,4,out,False,880020,True,8,0,50,50
166377,2019-08-05 21:00:00+00:00,2019,8,5,in,False,0,True,4,0,62,62
166377,2019-08-05 21:00:00+00:00,2019,8,5,out,False,881278,True,3,0,29,29
166377,2019-08-05 21:00:00+00:00,2019,8,5,out,False,880020,True,5,0,70,70
166377,2019-08-05 21:00:00+00:00,2019,8,5,out,True,881278,True,2,0,5,5
166377,2019-08-05 21:00:00+00:00,2019,8,5,out,False,880020,False,5,800,19,819
166377,2019-08-06 21:00:00+00:00,2019,8,6,out,False,880028,True,1,0,15,15
166377,2019-08-06 21:00:00+00:00,2019,8,6,out,False,880026,False,1,21,7,28
166377,2019-08-06 21:00:00+00:00,2019,8,6,out,False,880020,False,2,232,8,240
166377,2019-08-06 21:00:00+00:00,2019,8,6,in,False,0,True,2,0,24,24
166377,2019-08-06 21:00:00+00:00,2019,8,6,out,False,880026,True,1,0,17,17
166377,2019-08-07 21:00:00+00:00,2019,8,7,out,False,880022,False,2,558,10,568
166377,2019-08-07 21:00:00+00:00,2019,8,7,out,False,880022,True,4,0,28,28
166377,2019-08-08 21:00:00+00:00,2019,8,8,out,False,880028,False,17,1603,122,1725
166377,2019-08-08 21:00:00+00:00,2019,8,8,out,False,880028,True,2,0,2,2
166377,2019-08-08 21:00:00+00:00,2019,8,8,out,False,880022,True,2,0,10,10
166377,2019-08-11 21:00:00+00:00,2019,8,11,out,False,880028,False,20,2074,117,2191
166377,2019-08-11 21:00:00+00:00,2019,8,11,out,True,880028,True,1,0,26,26
166377,2019-08-11 21:00:00+00:00,2019,8,11,in,False,880028,False,1,407,4,411
166377,2019-08-11 21:00:00+00:00,2019,8,11,in,False,0,True,2,0,34,34
166377,2019-08-11 21:00:00+00:00,2019,8,11,in,False,0,True,2,0,34,34
166377,2019-08-12 21:00:00+00:00,2019,8,12,out,True,880026,True,2,0,23,23
166377,2019-08-12 21:00:00+00:00,2019,8,12,in,False,0,True,7,0,128,128
166377,2019-08-12 21:00:00+00:00,2019,8,12,out,False,880026,False,4,258,29,287
166377,2019-08-12 21:00:00+00:00,2019,8,12,out,True,880028,True,1,0,16,16
166377,2019-08-12 21:00:00+00:00,2019,8,12,out,False,880028,False,10,647,141,788
166377,2019-08-12 21:00:00+00:00,2019,8,12,in,False,880028,False,1,88,14,102
